amfi_code,scheme_name,fund_house,category,sub_category,cagr_pct,sharpe_ratio,alpha,beta,max_drawdown_pct,expense_ratio_pct,fund_score
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap,22.6,1.03,21.4,0.02,-11.29,1.6,65.6
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,18.28,0.78,17.73,0.05,-15.2,0.92,61.0
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Large & Mid Cap,21.63,0.93,20.87,-0.03,-15.27,1.52,60.9
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Large Cap,18.05,0.8,17.7,-0.04,-13.9,1.42,59.1
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Index,17.52,0.82,16.99,-0.0,-10.86,1.57,55.0
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Index/ETF,15.34,0.66,15.16,-0.01,-11.65,0.89,54.5
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Large Cap,15.65,0.65,15.64,-0.04,-18.63,0.72,54.1
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Value,16.42,0.65,15.21,0.05,-19.83,1.41,50.6
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Liquid,6.97,0.5,6.37,0.06,-0.1,0.74,48.0
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Small Cap,15.74,0.45,17.82,0.0,-23.34,1.53,43.8
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Mid Cap,10.87,0.3,10.34,0.06,-21.12,0.78,41.6
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Flexi Cap,16.19,0.62,16.58,-0.01,-21.54,1.64,41.4
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Liquid,6.66,-0.09,6.3,0.02,-0.12,0.6,41.1
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Large Cap,12.88,0.46,13.17,-0.0,-14.84,1.54,40.7
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Large Cap,7.6,0.13,8.23,0.03,-21.75,0.75,38.1
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Large Cap,13.02,0.49,13.04,0.04,-17.57,1.59,37.9
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Gilt,5.12,-0.36,5.18,-0.01,-8.32,0.55,32.6
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Liquid,6.27,-0.82,6.28,-0.03,-0.16,0.79,32.1
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Gilt,5.67,-0.23,5.61,-0.0,-4.33,0.77,31.8
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Small Cap,7.64,0.16,11.97,-0.05,-35.45,1.53,31.6
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Short Duration,4.29,-0.57,5.0,-0.11,-4.31,0.56,30.9
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Mid Cap,6.45,0.08,8.85,-0.04,-24.0,1.56,25.9
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Large Cap,6.13,0.03,6.9,0.01,-14.4,1.64,24.8
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Small Cap,1.98,-0.06,4.78,0.01,-52.57,0.72,22.9
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Small Cap,1.47,-0.08,5.79,-0.05,-51.68,1.38,19.5
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Mid Cap,1.13,-0.21,4.15,-0.05,-28.0,1.51,12.6
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,2.54,-0.2,3.75,-0.06,-24.73,1.55,12.4
